case_id,name,source,expected_handoff,webhook_http,outbound_count,session_id,whatsapp_id,conversation_status,handoff_target,is_active_agent,result,note,reply_preview,question
TC-H70-001-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_96f2efff5ce34ca5abe795fb9923a7ea,newsess-f7ea90a5b0@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT70 Pro 5G有哪些配置？
TC-H70-002-N,[活动规则] 预定HOT 70 Pro的活动怎么参加？【标准问答场景】,活动规则,否,200,0,agent_72f4a0c424b345098902b0c198da2eda,newsess-8ba3ef83df@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,预定HOT 70 Pro的活动怎么参加？
TC-H70-003-N,[活动权益] 预订 HOT 70 Pro有什么福利？【标准问答场景】,活动权益,否,200,0,agent_20edaa86f25243b997df65341d698c08,newsess-48e71ab6be@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,预订 HOT 70 Pro有什么福利？
TC-H70-004-N,[门店信息] 哪里可以买/提HOT 70 Pro？【标准问答场景】,门店信息,否,200,0,agent_9c5c77383c52477f9321c7f29a87a7ff,newsess-ae3bab9f6a@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,哪里可以买/提HOT 70 Pro？
TC-H70-005-N,[官方身份说明] 这个 WhatsApp 号是正规的吗？【标准问答场景】,官方身份说明,否,200,0,agent_899ae58d47464406bd4322f25cb928e9,newsess-2b69847e32@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,这个 WhatsApp 号是正规的吗？
TC-H70-006-N,[人工兜底规则] 预订失败了怎么办？【直接转人工场景】,人工兜底规则,是,200,0,agent_78b01050d8364edf9f1c1fe8f97d8c47,newsess-6265c661d5@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,预订失败了怎么办？
TC-H70-007-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些颜色？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_ea26af17063f43f7a60e2201f319e29b,newsess-da67c0ba83@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT70 Pro 5G有哪些颜色？
TC-H70-008-N,[HOT 70 Pro 商品信息] HOT70 Pro 支持 5G 吗？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_f98e410b77304d13a6ca501efffea65a,newsess-caa234d6ae@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT70 Pro 支持 5G 吗？
TC-H70-009-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G防水吗？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_be843f84cd494758a1092efea7726ad8,newsess-5c86cfef92@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT70 Pro 5G防水吗？
TC-H70-010-N,[活动规则] 预订后下一步做什么？【标准问答场景】,活动规则,否,200,0,agent_6ed11e061d3347c8a00589d361225b3e,newsess-86884e08e5@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,预订后下一步做什么？
TC-H70-011-N,[活动权益] 支持分期付款吗？【标准问答场景】,活动权益,否,200,0,agent_42520591ba5e4071bdf83f9480e8335a,newsess-707232cc20@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,支持分期付款吗？
TC-H70-012-N,[提机规则] 提机需要带什么？【标准问答场景】,提机规则,否,200,0,agent_161f939f137a4574a0f0007b9043c092,newsess-ba7487936c@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,提机需要带什么？
