用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,转人工预期,是否存在知识库,执行阶段,是否使用新会话,知识库是否命中,知识库是否命中正确,日志客户标签,客户标签是否准确,日志转人工,转人工是否准确,实际回复内容（英文）,语义是否合理,回复是否准确,服务端真实耗时,接口响应时长,备注
TC-H70-006-N,[人工兜底规则] 预订失败了怎么办？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"We're sorry for the inconvenience! If your pre-order failed, our team can help you manually complete the booking. A support agent will assist you shortly.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订失败了怎么办？,What should I do if the booking fails?,否,是,P1,是,是,,NA,NA,NA,是,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",是,是,,4117,无法读取日志; handoff by LLM: 机器人告知无法转接人工，继续自助服务; handoff source=llm; missing expected facts; 业务反馈关键词重合6个; 机器人解释了人工客服不可用，并主动要求更多细节以提供帮助，逻辑通顺且语言自然。
TC-H70-007-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些颜色？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G features 4 stunning color-changing variants with our exclusive Crystal Glow technology — the back changes color under different lighting!Night pulse、Mirage green、Dive blue、Thermo orange.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G有哪些颜色？,What colors does the HOT70 Pro 5G come in?,否,是,P1,是,是,,NA,NA,NA,是,HOT 70 Pro 5G features 4 stunning color-changing variants with our exclusive Crystal Glow technology — the back changes color under different lighting!Night pulse、Mirage green、Dive blue、Thermo orange.,否,否,,3379,无法读取日志; handoff by LLM: 机器人直接回答了用户问题，没有转接人工客服。; handoff source=llm; 业务反馈关键词重合30个; 回复中列举颜色使用了中文顿号，不符合英文标点规范，语言不自然。
TC-H70-008-N,[HOT 70 Pro 商品信息] HOT70 Pro 支持 5G 吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Yes! HOT 70 Pro 5G supports 5G connectivity for ultra-fast browsing, streaming, and gaming. Experience next-level speed!

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 支持 5G 吗？,Does the HOT70 Pro support 5G?,否,是,P1,是,是,,NA,NA,NA,是,"Yes! HOT 70 Pro 5G supports 5G connectivity for ultra-fast browsing, streaming, and gaming. Experience next-level speed!",是,是,,2001,无法读取日志; handoff by LLM: 机器人直接回答了用户问题，未触发转接人工。; handoff source=llm; 业务反馈关键词重合18个; 机器人确认了支持5G，并提供了额外信息，语义合理且语言自然。
TC-H70-011-H-C01,[预订权益] 支持分期付款吗？【条件式转人工场景：具体分期方案】,步骤1：先执行关联标准用例“TC-H70-011-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“具体分期方案”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“具体分期方案”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,具体分期方案,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-011-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：具体分期方案,What are the available monthly payment options and interest rates?,是,是,P1,否,否,,NA,NA,NA,否,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",否,否,,50000,"无法读取日志; handoff by LLM: The bot indicated no human agent was available and continued to assist, no transfer occurred.; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人没有直接回答用户关于分期付款和月付选项的问题，而是重复了标准话术，语义上不相关。"
TC-H70-019-H-C01,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：门店报价不一致】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“门店报价不一致”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“门店报价不一致”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,门店报价不一致,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：门店报价不一致,Why do some stores list a different price for the HOT70 Pro 5G?,是,是,P1,否,否,,NA,NA,NA,否,I didn't quite understand that. Could you send it again?,否,否,,50000,无法读取日志; handoff by LLM: 对话中机器人未理解用户问题，但未出现转人工操作，用户未获得人工客服服务。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人未能理解用户关于HOT70 Pro 5G价格的明确问题，重复要求重发，不合理。
TC-H70-019-H-C02,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：特殊价格】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“特殊价格”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“特殊价格”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,特殊价格,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：特殊价格,Is there a special promotion or discount available for the HOT70 Pro 5G?,是,是,P1,否,否,,NA,NA,NA,否,"HOT 70 Pro 5G 128GB+8GB is priced at BDT 36,999.Online pre-booking is free.",否,否,,50000,无法读取日志; handoff by LLM: 用户询问特殊促销或折扣后，机器人没有回复，也没有任何转接人工的表示或操作。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人未针对用户询问的促销折扣问题作答，重复了价格信息，语义不匹配。
TC-H70-019-H-C03,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：优惠叠加】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“优惠叠加”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“优惠叠加”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,优惠叠加,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：优惠叠加,Can I combine multiple promotions when buying the HOT70 Pro 5G?,是,是,P1,否,否,,NA,NA,NA,否,"HOT 70 Pro 5G 128GB+8GB is priced at BDT 36,999.Online pre-booking is free.",否,否,,50000,无法读取日志; handoff by LLM: 对话中没有出现转人工的操作或提示，机器人仅回答了价格和促销问题，未启动转人工流程。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人没有回答用户关于促销组合的问题，而是重复了之前的价格和预购信息，语义不合理。
TC-H70-019-H-C04,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：价格争议时】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“价格争议时”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“价格争议时”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,价格争议时,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：价格争议时,"I found a different price for the HOT70 Pro 5G elsewhere, can you explain the discrepancy?",是,是,P1,否,否,,NA,NA,NA,否,"HOT 70 Pro 5G 128GB+8GB is priced at BDT 36,999.Online pre-booking is free.",否,否,,50000,无法读取日志; handoff by LLM: The conversation ends with the user's question about price discrepancy; no handoff to a human agent occurred.; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 重复之前的价格信息，未解释用户提出的价格差异问题。
TC-H70-020-H-C01,[预订规则] 订金在哪里付【条件式转人工场景：用户询问收据】,步骤1：先执行关联标准用例“TC-H70-020-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“用户询问收据”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“用户询问收据”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,用户询问收据,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-020-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：用户询问收据,Can I get a receipt after making the deposit payment?,是,是,P1,否,否,,NA,NA,NA,否,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",否,否,,50000,无法读取日志; handoff by LLM: 机器人告知当前没有人工客服可用，并继续自行回答，未执行转接操作。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人重复了之前的回复，没有针对用户新问题给出回答。
TC-H70-020-H-C02,[预订规则] 订金在哪里付【条件式转人工场景：发票】,步骤1：先执行关联标准用例“TC-H70-020-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“发票”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“发票”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,发票,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-020-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：发票,Can I get an invoice after making the deposit payment?,是,是,P1,否,否,,NA,NA,NA,否,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",否,否,,50000,无法读取日志; handoff by LLM: 机器人仅表示人工不可用并继续自行处理，未实际转接人工。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 未直接回答用户关于支付押金地点的问题，而是转移话题。
